"","Method","Metric","Testing_Proportion","Mean","SD"
"1","GBLUP","COR",0.15,0.451416925248122,0.0664118948950538
"2","GBLUP","COR",0.3,0.444903203833391,0.0509742679639312
"3","GBLUP","COR",0.5,0.436972858694002,0.0463318000372922
"4","GBLUP","COR",0.75,0.417173770221498,0.0540217278249985
"5","GBLUP","COR",0.8,0.399188147840714,0.0634303370073356
"6","GBLUP","NRMSE",0.15,0.0516742784552459,0.00201670149630223
"7","GBLUP","NRMSE",0.3,0.0521615034590294,0.00225136841863449
"8","GBLUP","NRMSE",0.5,0.0524015500204355,0.00197817776765093
"9","GBLUP","NRMSE",0.75,0.0529574053994904,0.00203738357522995
"10","GBLUP","NRMSE",0.8,0.0535211164745607,0.0022072392553083
"11","GBLUP","PM_10",0.15,34.2105263157895,10.3046843197112
"12","GBLUP","PM_10",0.3,33.0026990553306,7.76387172806689
"13","GBLUP","PM_10",0.5,32.6684660368871,6.52908463155523
"14","GBLUP","PM_10",0.75,31.8467103524076,5.96103741018883
"15","GBLUP","PM_10",0.8,31.1312144357722,5.72334193063091
"16","GBLUP","PM_20",0.15,36.6666666666667,4.84246682879155
"17","GBLUP","PM_20",0.3,36.0897435897436,3.63274323610897
"18","GBLUP","PM_20",0.5,36.3418803418803,3.76057658663564
"19","GBLUP","PM_20",0.75,35.9102564102564,3.50224440540396
"20","GBLUP","PM_20",0.8,35.4589743589744,3.38133160755812
"21","Transfer","COR",0.15,0.451491201005892,0.0637006131250071
"22","Transfer","COR",0.3,0.447468031404097,0.0496446240588974
"23","Transfer","COR",0.5,0.438052421946204,0.0465060843607568
"24","Transfer","COR",0.75,0.417797049945555,0.054903963384613
"25","Transfer","COR",0.8,0.39889843131653,0.0658456022693731
"26","Transfer","NRMSE",0.15,0.0516880891623637,0.00217405654562928
"27","Transfer","NRMSE",0.3,0.052094719502602,0.00230871475980159
"28","Transfer","NRMSE",0.5,0.0523898352533969,0.0020263917285821
"29","Transfer","NRMSE",0.75,0.0529845210405779,0.0021069289886312
"30","Transfer","NRMSE",0.8,0.0535575126588576,0.00228062267806718
"31","Transfer","PM_10",0.15,33.1578947368421,9.62516963111944
"32","Transfer","PM_10",0.3,32.7327935222672,7.43543077781668
"33","Transfer","PM_10",0.5,32.5398110661269,6.32164783524849
"34","Transfer","PM_10",0.75,32.1368170624817,5.69654148283316
"35","Transfer","PM_10",0.8,31.5171459576777,5.64944449865321
"36","Transfer","PM_20",0.15,36.6666666666667,4.99104318654921
"37","Transfer","PM_20",0.3,36.3461538461538,3.81850158547594
"38","Transfer","PM_20",0.5,36.6410256410256,3.78845611522888
"39","Transfer","PM_20",0.75,36.1602564102564,3.60028858811335
"40","Transfer","PM_20",0.8,35.7070512820513,3.47320437879758
