"","Method","Metric","Testing_Proportion","Mean","SD"
"1","GBLUP","COR",0.15,0.447549348214504,0.0724452371107882
"2","GBLUP","COR",0.3,0.438511784569532,0.0673531347235428
"3","GBLUP","COR",0.5,0.429590312178321,0.0589526952953685
"4","GBLUP","COR",0.75,0.412162363385356,0.0607932884882498
"5","GBLUP","COR",0.8,0.392889263881443,0.0668918601775272
"6","GBLUP","NRMSE",0.15,0.0541655464891261,0.00373387189155838
"7","GBLUP","NRMSE",0.3,0.0537022007182264,0.00337330451252375
"8","GBLUP","NRMSE",0.5,0.053896245469216,0.00290949483645985
"9","GBLUP","NRMSE",0.75,0.054353113993977,0.00271358949473248
"10","GBLUP","NRMSE",0.8,0.0549195807151653,0.00270352903471671
"11","GBLUP","PM_10",0.15,24.8484848484849,9.3536805245944
"12","GBLUP","PM_10",0.3,25.0610070458842,8.88298252853719
"13","GBLUP","PM_10",0.5,24.7954975081629,7.89284748473234
"14","GBLUP","PM_10",0.75,24.156660878007,7.27503385590634
"15","GBLUP","PM_10",0.8,23.4435273176843,6.88437950573632
"16","GBLUP","PM_20",0.15,37.8985507246377,7.91770170657913
"17","GBLUP","PM_20",0.3,37.6512287334594,7.17862194454789
"18","GBLUP","PM_20",0.5,37.3396511126588,6.23161153708671
"19","GBLUP","PM_20",0.75,36.5111182966869,5.79003289706639
"20","GBLUP","PM_20",0.8,35.642906382368,5.60833141062419
"21","Transfer","COR",0.15,0.588705019602811,0.0620379941318263
"22","Transfer","COR",0.3,0.582040758001537,0.0570506871624656
"23","Transfer","COR",0.5,0.57918762753048,0.048668200185267
"24","Transfer","COR",0.75,0.572044557430171,0.0453359838788385
"25","Transfer","COR",0.8,0.564111084717178,0.0442929785566582
"26","Transfer","NRMSE",0.15,0.0480343897303977,0.0033164606097143
"27","Transfer","NRMSE",0.3,0.047696091737871,0.00302674960130331
"28","Transfer","NRMSE",0.5,0.0477299534732467,0.00258617436015278
"29","Transfer","NRMSE",0.75,0.0479627190418149,0.0023168385869729
"30","Transfer","NRMSE",0.8,0.0482743218532019,0.00218598474114168
"31","Transfer","PM_10",0.15,36.0606060606061,11.8002173123385
"32","Transfer","PM_10",0.3,35.7372400756144,10.8612154211688
"33","Transfer","PM_10",0.5,35.531968777417,9.28331008204713
"34","Transfer","PM_10",0.75,35.1652971361209,8.41266713074703
"35","Transfer","PM_10",0.8,34.6130866213706,7.79310508741595
"36","Transfer","PM_20",0.15,45.6884057971015,7.09521372005589
"37","Transfer","PM_20",0.3,45.4867674858223,6.71275252590616
"38","Transfer","PM_20",0.5,45.5438099028289,6.00797114407371
"39","Transfer","PM_20",0.75,45.3632930388353,5.50101421662763
"40","Transfer","PM_20",0.8,45.0130333251238,5.13479908684667
