"","Dataset","Testing_Proportion","Trait","Env_Proxy","Env_goal","Fold","COR_BayI","COR_Trans","MSE_BayI","MSE_Trans","NRMSE_BayI","NRMSE_Trans","PM_Conv_10","PM_Transf_10","PM_Conv_20","PM_Transf_20","PM_Conv_30","PM_Transf_30"
"1","Wheat_2",0.15,"GY","YT_15_16","YT_14_15",1,0.228086800212076,0.219664634402906,0.0676251851424401,0.067935968949248,0.0407806122347591,0.0408742121701078,20,25,27.5,37.5,46.6666666666667,43.3333333333333
"2","Wheat_2",0.15,"GY","YT_15_16","YT_14_15",2,0.191163908268131,0.204896402470011,0.075381607226449,0.0752008279311492,0.0429921233692244,0.0429405408189209,30,35,35,37.5,41.6666666666667,36.6666666666667
"3","Wheat_2",0.15,"GY","YT_15_16","YT_14_15",3,0.166799175697068,0.200799461914282,0.091802180280205,0.0913194228653052,0.047655024039848,0.047529557842148,5,5,40,35,43.3333333333333,43.3333333333333
"4","Wheat_2",0.15,"GY","YT_15_16","YT_14_15",4,0.155386795009656,0.161212432346513,0.0872256176420778,0.0868703572465886,0.046296203288207,0.0462018274096223,20,15,22.5,25,36.6666666666667,38.3333333333333
"5","Wheat_2",0.15,"GY","YT_15_16","YT_14_15",5,0.135418120825891,0.144722390336634,0.0744232261457537,0.0743361879643034,0.0426757315338656,0.0426507695367956,15,15,32.5,32.5,40,45
"6","Wheat_2",0.15,"GY","YT_15_16","YT_14_15",6,0.161954908378362,0.129943910658557,0.0691765852098015,0.0699336487745129,0.0412918053981734,0.0415171378419519,45,35,27.5,35,36.6666666666667,35
"7","Wheat_2",0.15,"GY","YT_15_16","YT_14_15",7,0.160458410893251,0.145371272479773,0.0785737866104407,0.0789012025277655,0.044031903007898,0.0441235478117774,30,20,25,30,36.6666666666667,33.3333333333333
"8","Wheat_2",0.15,"GY","YT_15_16","YT_14_15",8,0.276929563309426,0.295009615915794,0.0773624871004019,0.077507146309499,0.0436366215001206,0.043677400249984,10,15,35,37.5,45,46.6666666666667
"9","Wheat_2",0.15,"GY","YT_15_16","YT_14_15",9,0.22771503550012,0.206821413165009,0.081876202295316,0.0826934491879265,0.0449206670592594,0.0451442981055903,15,5,35,30,38.3333333333333,38.3333333333333
"10","Wheat_2",0.15,"GY","YT_15_16","YT_14_15",10,0.186535519103045,0.172470325353658,0.0906170941871372,0.0910222937155721,0.0470361583683952,0.0471412035090407,10,15,35,35,41.6666666666667,43.3333333333333
"11","Wheat_2",0.3,"GY","YT_15_16","YT_14_15",1,0.099617913922352,0.10901633701024,0.0848220160616821,0.0846188261537325,0.0456745349154382,0.0456197957714546,15,12.5,28.75,31.25,41.6666666666667,40.8333333333333
"12","Wheat_2",0.3,"GY","YT_15_16","YT_14_15",2,0.093377813196931,0.0860004248117499,0.085235421385098,0.0853295190967606,0.0456965690233999,0.0457217859836977,12.5,15,25,26.25,35,32.5
