"","Method","Metric","Testing_Proportion","Mean","SD"
"1","GBLUP","COR",0.15,0.189044823719702,0.0432162229269533
"2","GBLUP","COR",0.3,0.168914814641285,0.0465714267777737
"3","GBLUP","COR",0.5,0.162706254820286,0.0398003602108621
"4","GBLUP","COR",0.75,0.150385579457503,0.0427974736162774
"5","GBLUP","COR",0.8,0.139151014379473,0.0456321785910403
"6","GBLUP","NRMSE",0.15,0.0441316849799751,0.00233632108711313
"7","GBLUP","NRMSE",0.3,0.0444078257372212,0.00184413977590728
"8","GBLUP","NRMSE",0.5,0.0445555238582682,0.00168071655621429
"9","GBLUP","NRMSE",0.75,0.0446606053271977,0.00148107857367265
"10","GBLUP","NRMSE",0.8,0.0447477450734998,0.00134702204256113
"11","GBLUP","PM_10",0.15,20,12.0185042515466
"12","GBLUP","PM_10",0.3,18.75,8.94059341018905
"13","GBLUP","PM_10",0.5,18.5606060606061,7.52072487742986
"14","GBLUP","PM_10",0.75,17.5704545454545,6.87307228084784
"15","GBLUP","PM_10",0.8,16.6731860662702,6.51834680872938
"16","GBLUP","PM_20",0.15,31.5,5.55277708298589
"17","GBLUP","PM_20",0.3,31.5,4.50876339681082
"18","GBLUP","PM_20",0.5,31.0250626566416,4.2879147580322
"19","GBLUP","PM_20",0.75,29.7437969924812,4.54069118326977
"20","GBLUP","PM_20",0.8,28.9726076874429,4.42483441495418
"21","Transfer","COR",0.15,0.188091185904314,0.0486216664667983
"22","Transfer","COR",0.3,0.170593737339705,0.0509025267393377
"23","Transfer","COR",0.5,0.162965156098334,0.0442491029226772
"24","Transfer","COR",0.75,0.150253508659562,0.0466551490227798
"25","Transfer","COR",0.8,0.139282683980624,0.048673983465366
"26","Transfer","NRMSE",0.15,0.0441800495295939,0.00228899752741277
"27","Transfer","NRMSE",0.3,0.0444083438513521,0.00181308255636495
"28","Transfer","NRMSE",0.5,0.0445662784862838,0.00167809818077229
"29","Transfer","NRMSE",0.75,0.044679240034322,0.00148012462088016
"30","Transfer","NRMSE",0.8,0.0447708144801226,0.00134616351335054
"31","Transfer","PM_10",0.15,18.5,10.5540934659917
"32","Transfer","PM_10",0.3,18.125,8.38525491562421
"33","Transfer","PM_10",0.5,17.8914141414141,7.01622523422456
"34","Transfer","PM_10",0.75,17.2435606060606,6.27175349458377
"35","Transfer","PM_10",0.8,16.6359699801756,5.97748946286474
"36","Transfer","PM_20",0.15,33.5,4.11636301174282
"37","Transfer","PM_20",0.3,32.6875,3.58806042752612
"38","Transfer","PM_20",0.5,31.5661027568922,3.7049634320244
"39","Transfer","PM_20",0.75,30.0120770676692,4.3201981438365
"40","Transfer","PM_20",0.8,29.1685401588082,4.36258394831612
