"","Method","Metric","Testing_Proportion","Mean","SD"
"1","GBLUP","COR",0.15,0.449213583834668,0.059592612796245
"2","GBLUP","COR",0.3,0.443037309973586,0.0550434401121736
"3","GBLUP","COR",0.5,0.431404918376892,0.0500316892732929
"4","GBLUP","COR",0.75,0.412701549898545,0.0556256286298812
"5","GBLUP","COR",0.8,0.391308957537927,0.0657657963362964
"6","GBLUP","NRMSE",0.15,0.047648257595286,0.00272830940645954
"7","GBLUP","NRMSE",0.3,0.0484051988162396,0.00259306767818045
"8","GBLUP","NRMSE",0.5,0.0487907309794753,0.00231194992900635
"9","GBLUP","NRMSE",0.75,0.0492348169642279,0.00220669839966122
"10","GBLUP","NRMSE",0.8,0.0497489868111221,0.00222777741609301
"11","GBLUP","PM_10",0.15,28.75,9.5000826227236
"12","GBLUP","PM_10",0.3,28.7454314317496,8.7750072689786
"13","GBLUP","PM_10",0.5,28.4576557727281,7.69519865131277
"14","GBLUP","PM_10",0.75,27.6295641541748,7.0821888266573
"15","GBLUP","PM_10",0.8,26.6654269133413,6.84050295251312
"16","GBLUP","PM_20",0.15,40.7974137931035,6.69737546360727
"17","GBLUP","PM_20",0.3,40.6757508342603,6.27917708766823
"18","GBLUP","PM_20",0.5,40.3396520825609,5.57560703621881
"19","GBLUP","PM_20",0.75,39.5781192065258,5.24552915517391
"20","GBLUP","PM_20",0.8,38.6061156816858,5.2423268234914
"21","Transfer","COR",0.15,0.561997070994504,0.048847419810919
"22","Transfer","COR",0.3,0.556484261332179,0.0452001115739334
"23","Transfer","COR",0.5,0.551572264630837,0.0394953029370591
"24","Transfer","COR",0.75,0.543119506442282,0.0384703902220769
"25","Transfer","COR",0.8,0.533540594184706,0.0402087934569977
"26","Transfer","NRMSE",0.15,0.044625857143731,0.00251354456401035
"27","Transfer","NRMSE",0.3,0.0453882628826968,0.00240671939667924
"28","Transfer","NRMSE",0.5,0.0456629742480856,0.0021411458010089
"29","Transfer","NRMSE",0.75,0.0459719168259718,0.00198169347729565
"30","Transfer","NRMSE",0.8,0.0463325010345017,0.00192893387864878
"31","Transfer","PM_10",0.15,35.1339285714286,10.4160899951559
"32","Transfer","PM_10",0.3,34.754886381694,9.50044395319406
"33","Transfer","PM_10",0.5,34.5761494252874,8.15758208866885
"34","Transfer","PM_10",0.75,34.2062636836344,7.30423583638033
"35","Transfer","PM_10",0.8,33.7752758496293,6.78770937957927
"36","Transfer","PM_20",0.15,46.7241379310345,6.42522315225099
"37","Transfer","PM_20",0.3,46.4182424916574,6.07941218421289
"38","Transfer","PM_20",0.5,46.2714358546533,5.38992730979156
"39","Transfer","PM_20",0.75,45.9416423340749,4.86211529176434
"40","Transfer","PM_20",0.8,45.5101807895016,4.56965437027536
