"","Dataset","Testing_Proportion","Trait","Env_Proxy","Env_goal","Fold","COR_BayI","COR_Trans","MSE_BayI","MSE_Trans","NRMSE_BayI","NRMSE_Trans","PM_Conv_10","PM_Transf_10","PM_Conv_20","PM_Transf_20","PM_Conv_30","PM_Transf_30"
"1","EYT_3",0.15,"DTHD","Bed5IR","Bed2IR",1,0.44397971483713,0.683805537140833,7.68163318807916,5.09969810624538,0.0337231275672323,0.0274772519868182,21.4285714285714,28.5714285714286,34.4827586206897,55.1724137931034,51.1627906976744,62.7906976744186
"2","EYT_3",0.15,"DTHD","Bed5IR","Bed2IR",2,0.482226046611423,0.67935304920382,6.22514146649193,4.39583565376355,0.0303989903605605,0.0255449625678333,42.8571428571429,57.1428571428571,27.5862068965517,58.6206896551724,48.8372093023256,60.4651162790698
"3","EYT_3",0.15,"DTHD","Bed5IR","Bed2IR",3,0.585131363630453,0.735201161994835,7.10969852032203,4.78170419412299,0.0322458932399635,0.0264447930244776,28.5714285714286,57.1428571428571,48.2758620689655,65.5172413793103,48.8372093023256,60.4651162790698
"4","EYT_3",0.15,"DTHD","Bed5IR","Bed2IR",4,0.546326167083916,0.738953550308918,6.64119002735985,4.28803492088724,0.0312801225128143,0.0251347545520269,42.8571428571429,64.2857142857143,48.2758620689655,58.6206896551724,48.8372093023256,72.093023255814
"5","EYT_3",0.15,"DTHD","Bed5IR","Bed2IR",5,0.47933610366415,0.62820534106782,6.08612714535955,4.77225409683311,0.0302150621683452,0.0267556041176512,28.5714285714286,35.7142857142857,44.8275862068966,48.2758620689655,44.1860465116279,48.8372093023256
"6","EYT_3",0.15,"DTHD","Bed5IR","Bed2IR",6,0.475481470306637,0.679762421070654,5.93795853396096,4.14688122198068,0.0297545210667408,0.0248653846596259,42.8571428571429,50,44.8275862068966,55.1724137931034,46.5116279069767,60.4651162790698
"7","EYT_3",0.15,"DTHD","Bed5IR","Bed2IR",7,0.488072820838864,0.67254200380153,6.87445318651391,4.92793557270949,0.0319021639289386,0.0270105590782248,50,57.1428571428571,48.2758620689655,62.0689655172414,46.5116279069767,60.4651162790698
"8","EYT_3",0.15,"DTHD","Bed5IR","Bed2IR",8,0.371540985473139,0.64424791405038,7.63493993808423,5.04254204127127,0.0337592878827217,0.0274356483949301,14.2857142857143,28.5714285714286,41.3793103448276,48.2758620689655,46.5116279069767,58.1395348837209
"9","EYT_3",0.15,"DTHD","Bed5IR","Bed2IR",9,0.559599166073955,0.756895766182375,5.94491022036573,3.72200835236444,0.029784473908628,0.0235670897086208,28.5714285714286,57.1428571428571,41.3793103448276,58.6206896551724,58.1395348837209,65.1162790697674
"10","EYT_3",0.15,"DTHD","Bed5IR","Bed2IR",10,0.367133242301262,0.67497862058005,7.76030288190422,4.85961758714135,0.034009526207021,0.0269130112739867,28.5714285714286,50,48.2758620689655,55.1724137931034,51.1627906976744,62.7906976744186
"11","EYT_3",0.15,"DTMT","Bed5IR","Bed2IR",1,0.386959807691018,0.66066978671665,6.96505656154389,4.57162380610122,0.0228067946362222,0.0184772430249333,14.2857142857143,28.5714285714286,24.1379310344828,44.8275862068966,48.8372093023256,60.4651162790698
"12","EYT_3",0.15,"DTMT","Bed5IR","Bed2IR",2,0.462458763661421,0.618374246905917,5.61421110148088,4.38077972701793,0.0205151809171175,0.0181220235418392,21.4285714285714,50,34.4827586206897,51.7241379310345,51.1627906976744,62.7906976744186
"13","EYT_3",0.15,"DTMT","Bed5IR","Bed2IR",3,0.577326541986473,0.757110510036906,5.30699444514219,3.41811461831752,0.0199055637279312,0.0159750959632743,21.4285714285714,28.5714285714286,41.3793103448276,55.1724137931034,53.4883720930233,65.1162790697674
"14","EYT_3",0.15,"DTMT","Bed5IR","Bed2IR",4,0.536737064847473,0.698283333351356,5.45238482458887,3.89553805810087,0.0201643715322098,0.0170441428882265,21.4285714285714,50,34.4827586206897,48.2758620689655,46.5116279069767,62.7906976744186
"15","EYT_3",0.15,"DTMT","Bed5IR","Bed2IR",5,0.471613388127808,0.646900613033996,5.78533600073236,4.32136587307833,0.0208766023328694,0.0180428876188798,21.4285714285714,35.7142857142857,34.4827586206897,44.8275862068966,48.8372093023256,51.1627906976744
"16","EYT_3",0.15,"DTMT","Bed5IR","Bed2IR",6,0.457879744516941,0.597124946871045,5.16818269094334,4.22429231985018,0.0196880930652488,0.0177996600038067,14.2857142857143,28.5714285714286,31.0344827586207,34.4827586206897,51.1627906976744,55.8139534883721
"17","EYT_3",0.15,"DTMT","Bed5IR","Bed2IR",7,0.429502931887686,0.608908739219828,6.67133743975135,5.08273014329089,0.0223087633077766,0.0194723141678376,21.4285714285714,14.2857142857143,34.4827586206897,41.3793103448276,48.8372093023256,53.4883720930233
