"","Dataset","Testing_Proportion","Trait","COR_BayI_Ave","COR_BayNI_SD","COR_Trans_Ave","COR_Trans_SD","MSE_BayI_Ave","MSE_BayNI_SD","MSE_Trans_Ave","MSE_Trans_SD","NRMSE_BayI_Ave","NRMSE_BayI_SD","NRMSE_Trans_Ave","NRMSE_Trans_SD","PM_Conv_Ave_10","PM_Conv_SD_10","PM_Transf_Ave_10","PM_Transf_SD_10","PM_Conv_Ave_20","PM_Conv_SD_20","PM_Transf_Ave_20","PM_Transf_SD_20","PM_Conv_Ave_30","PM_Conv_SD_30","PM_Transf_Ave_30","PM_Transf_SD_30"
"1","EYT_1",0.15,"DTHD",0.522037917764396,0.0672273294835666,0.73298492792717,0.0483500794270305,31.9812936201499,4.17367402724754,20.311360350419,2.86438959427783,0.0689147165835588,0.00452431198941539,0.0548987952680737,0.00388668443427404,20,9.41368896421972,38.7878787878788,10.8684229774465,40.2898550724638,8.13283313469444,51.8840579710145,5.2206720147865,53.3333333333333,5.5513454633233,61.6666666666667,5.1117120549977
"2","EYT_1",0.15,"DTMT",0.483665779396893,0.0680125287860922,0.687536752718218,0.0510444772930484,24.3341725827788,2.90874517055511,16.6860650341919,2.02937913747758,0.0399350423166656,0.00235465700917801,0.0330650072637097,0.00195592004150583,22.7272727272727,8.94295666477747,36.3636363636364,11.4521134611087,32.3188405797102,8.12618989137005,46.0869565217391,7.99639425797354,45.8823529411765,5.21399896073841,55.9803921568627,5.22516544803536
"3","EYT_1",0.15,"GY",0.409743188175072,0.0840551818376545,0.441359471774807,0.0790468507936675,0.183213515145225,0.0274584788078949,0.177081002291675,0.0250170326047377,0.069499232595527,0.00515690789005194,0.0683246703351575,0.00476134250400413,36.0606060606061,9.96936337090657,38.1818181818182,13.2192508181688,43.0434782608696,8.65753265567685,44.3478260869565,8.74103968626508,49.4117647058824,6.98099429597126,49.9019607843137,7.77612100757379
"4","EYT_1",0.15,"Height",0.374750507521656,0.0704859083358397,0.492938925991049,0.0697105690135586,15.2967521789997,2.33624902558736,13.3987194525272,1.99429634309428,0.038313194460753,0.00289961067758816,0.03584908605465,0.00266189545907319,20.6060606060606,9.08871309847384,30.9090909090909,11.6610819926301,35.9420289855072,6.75425114457518,40.4347826086956,6.42274892119844,44.8039215686275,7.30983526301899,51.7647058823529,5.28429972159311
"5","EYT_1",0.3,"DTHD",0.504318514541378,0.0636769033914856,0.731660061081758,0.0427230380975795,32.7420106117821,3.70654139794616,20.3483908330694,2.48880773647963,0.0698028026865226,0.00400467669553337,0.0550060397743957,0.00340448498261763,20.6521739130435,9.32398068897349,38.7865612648221,10.2083744530954,40,7.12513399110391,52.1956521739131,4.8387806242995,52.6777493606138,5.2506986054926,62.3550724637681,5.41396161251228
"6","EYT_1",0.3,"DTMT",0.477298743081949,0.0637002945093376,0.685531091914697,0.0464952867282659,24.6847742955189,2.75334708178698,16.8880583655711,1.97150844049384,0.0402385026812113,0.0022296295179299,0.0332764918796186,0.00191031784203697,22.4440052700922,8.62913177559008,36.1495388669302,10.5307704332702,32.8623188405797,7.36094826636239,46.286231884058,7.25406862143823,45.9335038363172,4.92207006999519,56.3693520886615,4.9927523581854
"7","EYT_1",0.3,"GY",0.40466341418038,0.0742679958903517,0.439846019206705,0.0696812005870944,0.181415157949272,0.0250903932703812,0.174802818196777,0.0229989928526067,0.0691662031426787,0.00473915295427483,0.0678908644873576,0.00441713851357599,36.1034255599473,9.32750465613621,38.201581027668,11.9250249253099,42.6268115942029,7.88031243683669,43.9492753623189,7.99403723603693,49.244813867576,6.17594331261469,50.228402955385,6.84563056938283
"8","EYT_1",0.3,"Height",0.378734254803062,0.0671546398809869,0.496062410316357,0.0669152817261083,15.2652485431498,2.11544331105892,13.37761648004,1.83131507256341,0.0382847280238756,0.00262498757952517,0.0358292954828663,0.00243801296386836,20.3096179183136,8.32481268685505,30.3194993412385,10.6718850449873,35.5072463768116,6.33917842498124,40.6340579710145,6.4517949715822,45.2092213697073,6.6694831461757,51.6737709576584,5.24477135386406
"9","EYT_1",0.5,"DTHD",0.49495607117925,0.0555024883502683,0.730330248417595,0.034994106537164,33.3107613198473,3.30832494107981,20.5056768715541,2.03323107350481,0.0704830966483651,0.00357935640527113,0.0552932490572667,0.00279116486670034,20.932112890923,8.04119351109666,39.6831703765342,8.80582822141666,40.2845156369184,6.35558909322518,52.6670480549199,4.76555915130217,52.5534691374643,4.67099823802524,62.8198576150521,4.61676383543849
"10","EYT_1",0.5,"DTMT",0.463956635571883,0.0576777192461935,0.680847652917884,0.0397017121499601,25.1830066891934,2.46208116807552,17.1709516436896,1.79265909721174,0.0406682157444007,0.0019979038480001,0.0335749890027406,0.00174973136349863,22.1222522709937,7.83424761897018,35.7649145921457,9.06649813773641,33.3060005085177,6.2090790570568,46.6034197813374,6.11204608226831,45.7815592547724,4.40183847836764,56.8599968591556,4.42934908324169
"11","EYT_1",0.5,"GY",0.393522460612269,0.0613498152628218,0.433260331492044,0.0577966712555808,0.179814509624992,0.0209321677811335,0.172661823812858,0.019423727380156,0.0688989912685221,0.00398459693161054,0.0675093733896013,0.00377547188406202,35.4873679587638,8.42553241668831,37.6698333448905,10.0642000612388,41.615179252479,6.73798848232877,43.1709255021612,6.83372189882795,48.6857435575298,5.12870490345335,50.3454118743862,5.54577591972631
"12","EYT_1",0.5,"Height",0.376820374516704,0.0607057238313405,0.497502714108918,0.0599012951903459,15.2607854251335,1.76229401550877,13.3456745077789,1.55257601545474,0.0382991534121011,0.0021877657557595,0.0358027517073815,0.00206249441077471,19.9963594757645,7.29514072990162,29.7018237292837,9.11713359769157,34.6437198067633,5.64445244175917,40.921052631579,6.11348877843449,45.2050834317963,5.63292112468589,51.5480748617779,4.90006600346817
"13","EYT_1",0.75,"DTHD",0.478296045007763,0.0580151489316875,0.727481994336406,0.0315425471714471,34.1235243322303,3.2990886846642,20.7370676731648,1.86421936457248,0.071349778642619,0.00354389640374993,0.0556231333681368,0.00255081921500475,20.5596872616323,7.13246687199318,40.0089799597809,7.94871966255407,39.6659420289855,5.90940192546335,52.8977688787185,4.73860424167397,51.6061472377786,4.74556381050404,62.7462415518067,4.10690555468686
