"","Dataset","Testing_Proportion","COR_BayI_Ave","COR_BayNI_SD","COR_Trans_Ave","COR_Trans_SD","MSE_BayI_Ave","MSE_BayNI_SD","MSE_Trans_Ave","MSE_Trans_SD","NRMSE_BayI_Ave","NRMSE_BayI_SD","NRMSE_Trans_Ave","NRMSE_Trans_SD","PM_Conv_Ave_10","PM_Conv_SD_10","PM_Transf_Ave_10","PM_Transf_SD_10","PM_Conv_Ave_20","PM_Conv_SD_20","PM_Transf_Ave_20","PM_Transf_SD_20","PM_Conv_Ave_30","PM_Conv_SD_30","PM_Transf_Ave_30","PM_Transf_SD_30"
"1","EYT_1",0.15,0.447549348214504,0.0724452371107882,0.588705019602811,0.0620379941318263,17.9488579742684,2.36153167554948,12.6433064598574,1.72827052686361,0.0541655464891261,0.00373387189155838,0.0480343897303977,0.0033164606097143,24.8484848484849,9.3536805245944,36.0606060606061,11.8002173123385,37.8985507246377,7.91770170657913,45.6884057971015,7.09521372005589,48.3578431372549,6.26404349576299,54.828431372549,5.84932455804999
"2","EYT_1",0.3,0.438511784569532,0.0673531347235428,0.582040758001537,0.0570506871624656,17.5868991755921,2.08243442201863,12.3645573977476,1.53908581381988,0.0537022007182264,0.00337330451252375,0.047696091737871,0.00302674960130331,25.0610070458842,8.88298252853719,35.7372400756144,10.8612154211688,37.6512287334594,7.17862194454789,45.4867674858223,6.71275252590616,48.0745209236814,5.77645531305115,54.8436747099596,5.63342320657196
"3","EYT_1",0.5,0.429590312178321,0.0589526952953685,0.57918762753048,0.048668200185267,17.8389324496934,1.82667255711268,12.4636570525852,1.31974384381756,0.053896245469216,0.00290949483645985,0.0477299534732467,0.00258617436015278,24.7954975081629,7.89284748473234,35.531968777417,9.28331008204713,37.3396511126588,6.23161153708671,45.5438099028289,6.00797114407371,47.8609418761701,4.9711207925725,55.0704430281382,4.8841289224265
"4","EYT_1",0.75,0.412162363385356,0.0607932884882498,0.572044557430171,0.0453359838788385,18.200798320667,1.7661555057866,12.5922748715462,1.19321526965216,0.054353113993977,0.00271358949473248,0.0479627190418149,0.0023168385869729,24.156660878007,7.27503385590634,35.1652971361209,8.41266713074703,36.5111182966869,5.79003289706639,45.3632930388353,5.50101421662763,47.0413928276475,4.72499458672875,54.8799234747899,4.39158238793262
"5","EYT_1",0.8,0.392889263881443,0.0668918601775272,0.564111084717178,0.0442929785566582,18.6295379438432,1.82009419929272,12.7669549308693,1.14082476633938,0.0549195807151653,0.00270352903471671,0.0482743218532019,0.00218598474114168,23.4435273176843,6.88437950573632,34.6130866213706,7.79310508741595,35.642906382368,5.60833141062419,45.0130333251238,5.13479908684667,46.1952935015833,4.70090224620627,54.5621751356213,4.10469899051374
"6","EYT_2",0.15,0.428262052038735,0.0710082873221706,0.58317963336889,0.0558130529381629,11.2515299313846,1.47204185767493,8.90040735736269,1.08764994622136,0.0489952294601849,0.00335502945551652,0.04432963329107,0.00302115760104757,26.9886363636364,10.7631316204831,33.125,10.1834770683503,39.8369565217391,7.25474073097238,47.5271739130435,7.61416317826032,50.0892857142857,6.34871874699031,56.6607142857143,6.16472779869006
"7","EYT_2",0.3,0.42554329980073,0.0652043513381287,0.575797557374659,0.0519495395851875,11.345094717227,1.39773844251234,9.08484540832497,1.04324249261655,0.0494826121559842,0.00320927019918786,0.0450392617748507,0.00287192715668819,27.3141654978962,9.98799945997584,33.5171490501084,9.77850414366085,39.6914446002805,6.8971035075053,46.8863955119214,6.9760826355141,49.6805583383423,5.92102834195694,55.9993321311694,5.79157616421043
"8","EYT_2",0.5,0.418310966518943,0.0570438208881139,0.572204745421002,0.0445984548246896,11.4667754866237,1.21823765182681,9.18754379584287,0.927291266823065,0.0498690101783292,0.00285179448888596,0.0453715900400943,0.00255588093865567,27.5368134731831,8.69280756812625,34.2684168025572,8.86275905365058,39.1543566298125,6.24328905340803,46.6773070314445,6.06936777782245,48.8120010655195,5.26061038927964,55.4860430767719,5.11357308016425
"9","EYT_2",0.75,0.402278009936576,0.0588267532684517,0.565598170327414,0.0418407001983755,11.644456447456,1.12573889273098,9.282335297868,0.839468410405518,0.0503264070008881,0.00269653087729927,0.0456790040083198,0.00236778656630105,26.9780584703789,7.91183012517548,34.114211126417,7.92230892850166,38.2393954363413,5.90123966465977,46.3198454187234,5.52310260178563,47.8293547158832,5.03793725740738,54.9759263033614,4.66795993694572
"10","EYT_2",0.8,0.38292353607956,0.0661179925242471,0.558027793331849,0.0413754746747069,11.8429898927019,1.1063362576446,9.37426239302491,0.782493260940179,0.0508704755367701,0.00268847879780625,0.0460446629178541,0.00226930776744933,26.2444005332297,7.43646013634501,33.9287554223625,7.24496759169908,37.243720768371,5.73086493578936,45.8776667629603,5.14815869383904,46.7722680487466,5.04156474955984,54.4913956783315,4.37184863556343
