"","Method","Metric","Testing_Proportion","Mean","SD"
"1","GBLUP","COR",0.15,0.209109398150181,0.0641024824177765
"2","GBLUP","COR",0.3,0.18957528082133,0.0528068963141038
"3","GBLUP","COR",0.5,0.176049748497981,0.0493190592305164
"4","GBLUP","COR",0.75,0.164072717217658,0.0500810514210482
"5","GBLUP","COR",0.8,0.15338913475788,0.0511270101534616
"6","GBLUP","NRMSE",0.15,0.0457276719766987,0.00224096988572535
"7","GBLUP","NRMSE",0.3,0.045802874193563,0.00194245062437096
"8","GBLUP","NRMSE",0.5,0.0462822502078099,0.00178759214076027
"9","GBLUP","NRMSE",0.75,0.0464203969451977,0.00159708634916751
"10","GBLUP","NRMSE",0.8,0.0465861771490118,0.00148261663321655
"11","GBLUP","PM_10",0.15,18.5,7.09068246206088
"12","GBLUP","PM_10",0.3,18.7621951219512,5.97164928617668
"13","GBLUP","PM_10",0.5,18.6846006695361,5.1803960155131
"14","GBLUP","PM_10",0.75,18.0575681492109,4.7805133796541
"15","GBLUP","PM_10",0.8,17.3084398404696,4.58655554171005
"16","GBLUP","PM_20",0.15,32.4390243902439,2.31386170256223
"17","GBLUP","PM_20",0.3,31.9512195121951,2.81448930955116
"18","GBLUP","PM_20",0.5,31.763100112753,3.04437273392814
"19","GBLUP","PM_20",0.75,30.9808616699306,3.03954222940256
"20","GBLUP","PM_20",0.8,30.1545523496431,3.32146222671406
"21","Transfer","COR",0.15,0.210591651153669,0.0630837023623735
"22","Transfer","COR",0.3,0.191323892015601,0.0521397084737795
"23","Transfer","COR",0.5,0.169866953690181,0.0573871286943427
"24","Transfer","COR",0.75,0.15401394442207,0.059471185846139
"25","Transfer","COR",0.8,0.13972734212641,0.0620420228235919
"26","Transfer","NRMSE",0.15,0.0457268877312153,0.0021778917645884
"27","Transfer","NRMSE",0.3,0.0457887415839986,0.0019017049745869
"28","Transfer","NRMSE",0.5,0.0463242318637948,0.0018054231390708
"29","Transfer","NRMSE",0.75,0.0464894092753979,0.00162566842863549
"30","Transfer","NRMSE",0.8,0.0466775243997516,0.00151979207513124
"31","Transfer","PM_10",0.15,18,6.74948557710553
"32","Transfer","PM_10",0.3,18.7560975609756,5.67448838256211
"33","Transfer","PM_10",0.5,18.43543758967,5.11360791042392
"34","Transfer","PM_10",0.75,17.5275585844094,4.94142483612684
"35","Transfer","PM_10",0.8,16.8293863170688,4.7785240814576
"36","Transfer","PM_20",0.15,31.7073170731707,2.29953424776113
"37","Transfer","PM_20",0.3,32.1341463414634,3.50054675856207
"38","Transfer","PM_20",0.5,31.6174114295887,3.5809150587747
"39","Transfer","PM_20",0.75,30.4203756453623,3.93309882100194
"40","Transfer","PM_20",0.8,29.5783096487099,4.13593520155836
