"","Dataset","Testing_Proportion","Trait","Env_Proxy","Env_goal","Fold","COR_BayI","COR_Trans","MSE_BayI","MSE_Trans","NRMSE_BayI","NRMSE_Trans","PM_Conv_10","PM_Transf_10","PM_Conv_20","PM_Transf_20","PM_Conv_30","PM_Transf_30"
"1","Wheat_6",0.15,"GY","YT_19_20","YT_18_19",1,0.589492651796089,0.590056972815403,0.105847394277963,0.105451612889454,0.0384602663677771,0.0383882942910318,42.1052631578947,47.3684210526316,52.6315789473684,57.8947368421053,57.8947368421053,61.4035087719298
"2","Wheat_6",0.15,"GY","YT_19_20","YT_18_19",2,0.553697549848684,0.553030795075341,0.118156089259589,0.117995927631032,0.0406463514480411,0.0406187938610135,26.3157894736842,15.7894736842105,52.6315789473684,52.6315789473684,63.1578947368421,61.4035087719298
"3","Wheat_6",0.15,"GY","YT_19_20","YT_18_19",3,0.401623797173722,0.408304974464739,0.140589747298054,0.139705503859226,0.0442010121424076,0.0440617910915519,26.3157894736842,26.3157894736842,31.578947368421,31.578947368421,54.3859649122807,50.8771929824561
"4","Wheat_6",0.15,"GY","YT_19_20","YT_18_19",4,0.553393211864399,0.556336523165228,0.114078103418774,0.11344325406886,0.0399012635360597,0.0397900825500438,31.578947368421,31.578947368421,52.6315789473684,52.6315789473684,59.6491228070175,59.6491228070175
"5","Wheat_6",0.15,"GY","YT_19_20","YT_18_19",5,0.561968596154831,0.560386286241673,0.130071216068771,0.130640927623301,0.0425538248739836,0.0426469158664349,15.7894736842105,15.7894736842105,36.8421052631579,39.4736842105263,54.3859649122807,56.140350877193
"6","Wheat_6",0.15,"GY","YT_19_20","YT_18_19",6,0.388918905407432,0.378166282320752,0.142098967910793,0.144343988644424,0.0445094783021391,0.0448597029130551,26.3157894736842,26.3157894736842,36.8421052631579,36.8421052631579,45.6140350877193,43.859649122807
"7","Wheat_6",0.15,"GY","YT_19_20","YT_18_19",7,0.506705638479063,0.510603251066024,0.129766883418025,0.128785645245272,0.0424177152653726,0.0422570392105626,21.0526315789474,26.3157894736842,52.6315789473684,52.6315789473684,59.6491228070175,57.8947368421053
"8","Wheat_6",0.15,"GY","YT_19_20","YT_18_19",8,0.518003598479452,0.514476358929328,0.116810878362228,0.117065454099366,0.0404029377893878,0.0404469405819406,47.3684210526316,52.6315789473684,52.6315789473684,52.6315789473684,57.8947368421053,57.8947368421053
"9","Wheat_6",0.15,"GY","YT_19_20","YT_18_19",9,0.460112827881985,0.456227782437001,0.137729025983798,0.138424197067406,0.0439577801664772,0.0440685764011741,26.3157894736842,26.3157894736842,47.3684210526316,44.7368421052632,54.3859649122807,54.3859649122807
"10","Wheat_6",0.15,"GY","YT_19_20","YT_18_19",10,0.530317880943633,0.52572181300164,0.126873939344761,0.127658704184521,0.0418260230013781,0.0419551787290862,15.7894736842105,21.0526315789474,39.4736842105263,44.7368421052632,49.1228070175439,50.8771929824561
"11","Wheat_6",0.3,"GY","YT_19_20","YT_18_19",1,0.491207215040972,0.489423180915949,0.121954328719368,0.122114027170476,0.0411639664116201,0.0411909095757516,23.6842105263158,21.0526315789474,44.7368421052632,46.0526315789474,58.7719298245614,57.0175438596491
"12","Wheat_6",0.3,"GY","YT_19_20","YT_18_19",2,0.53034237877698,0.516270077049511,0.134085526297604,0.136518275811811,0.0431049170997811,0.0434941913715039,36.8421052631579,36.8421052631579,50,47.3684210526316,55.2631578947368,53.5087719298246
"13","Wheat_6",0.3,"GY","YT_19_20","YT_18_19",3,0.503057003851473,0.50240624755261,0.118328870870758,0.118470903885853,0.0406373091603796,0.0406616908202479,39.4736842105263,36.8421052631579,48.6842105263158,44.7368421052632,58.7719298245614,57.8947368421053
"14","Wheat_6",0.3,"GY","YT_19_20","YT_18_19",4,0.548762665378894,0.547048756430848,0.109633901549245,0.109872275043497,0.0390569362434236,0.039099373313735,34.2105263157895,31.578947368421,48.6842105263158,46.0526315789474,60.5263157894737,63.1578947368421
"15","Wheat_6",0.3,"GY","YT_19_20","YT_18_19",5,0.454667445126604,0.452060302944916,0.124775930472161,0.124910437867876,0.0415825856244655,0.0416049924249757,28.9473684210526,26.3157894736842,46.0526315789474,46.0526315789474,54.3859649122807,52.6315789473684
"16","Wheat_6",0.3,"GY","YT_19_20","YT_18_19",6,0.474118397641045,0.462831296423667,0.111032085698792,0.113097310712248,0.0393836334689379,0.039748218731339,21.0526315789474,23.6842105263158,50,46.0526315789474,55.2631578947368,53.5087719298246
"17","Wheat_6",0.3,"GY","YT_19_20","YT_18_19",7,0.496857085392758,0.495432413936642,0.123377937635063,0.123538908753913,0.0414271089038575,0.0414541250564103,31.578947368421,31.578947368421,46.0526315789474,43.421052631579,57.0175438596491,58.7719298245614
"18","Wheat_6",0.3,"GY","YT_19_20","YT_18_19",8,0.492306788475441,0.491803713992794,0.122551872464516,0.122591716106035,0.0413305453978192,0.0413372634739125,28.9473684210526,28.9473684210526,43.421052631579,46.0526315789474,60.5263157894737,59.6491228070175
"19","Wheat_6",0.3,"GY","YT_19_20","YT_18_19",9,0.463552908207407,0.449462796217122,0.125312424402306,0.127385073348282,0.0417082104795123,0.0420517197197631,26.3157894736842,23.6842105263158,43.421052631579,43.421052631579,57.0175438596491,52.6315789473684
