"","Method","Metric","Testing_Proportion","Mean","SD"
"1","GBLUP","COR",0.15,0.506423465802929,0.0683673385690507
"2","GBLUP","COR",0.3,0.500054446950136,0.0514584597200948
"3","GBLUP","COR",0.5,0.486252782837746,0.047746686601935
"4","GBLUP","COR",0.75,0.46713983070517,0.053666298764459
"5","GBLUP","COR",0.8,0.455268332375429,0.0539947736942288
"6","GBLUP","NRMSE",0.15,0.0418876652893024,0.00201873186753123
"7","GBLUP","NRMSE",0.3,0.0415431205996605,0.00167484694045649
"8","GBLUP","NRMSE",0.5,0.0416887119837489,0.00149884615095093
"9","GBLUP","NRMSE",0.75,0.042108406105405,0.00150880814670833
"10","GBLUP","NRMSE",0.8,0.0424227159543604,0.00151140950041735
"11","GBLUP","PM_10",0.15,27.8947368421053,10.244772856601
"12","GBLUP","PM_10",0.3,29.3421052631579,8.33381929865526
"13","GBLUP","PM_10",0.5,28.9264828738513,7.12283429454641
"14","GBLUP","PM_10",0.75,28.8527568922306,6.33834118700546
"15","GBLUP","PM_10",0.8,28.8469113961374,5.74488285029042
"16","GBLUP","PM_20",0.15,45.5263157894737,8.41831095720005
"17","GBLUP","PM_20",0.3,46.3815789473684,6.18450520898661
"18","GBLUP","PM_20",0.5,46.2228899019202,5.12521484425209
"19","GBLUP","PM_20",0.75,45.491774756283,4.74926315599365
"20","GBLUP","PM_20",0.8,44.9620472560068,4.45587866764024
"21","Transfer","COR",0.15,0.505331103951713,0.0696097609382458
"22","Transfer","COR",0.3,0.496669637668918,0.0529649274550255
"23","Transfer","COR",0.5,0.482986782578546,0.0493873664110865
"24","Transfer","COR",0.75,0.464027438535801,0.0547252680981339
"25","Transfer","COR",0.8,0.451477244074158,0.0556417322025114
"26","Transfer","NRMSE",0.15,0.0419093315495895,0.00209125532112451
"27","Transfer","NRMSE",0.3,0.0416289007371803,0.00172376187820967
"28","Transfer","NRMSE",0.5,0.0417722155839894,0.00152521806092564
"29","Transfer","NRMSE",0.75,0.042183833205144,0.00152743317333059
"30","Transfer","NRMSE",0.8,0.0425127338873714,0.00154732283645747
"31","Transfer","PM_10",0.15,28.9473684210526,12.2178844536703
"32","Transfer","PM_10",0.3,29.3421052631579,9.3635877226677
"33","Transfer","PM_10",0.5,29.0323029796714,7.91109744594074
"34","Transfer","PM_10",0.75,28.6163324979114,7.00016200282723
"35","Transfer","PM_10",0.8,28.265615017937,6.397189472938
"36","Transfer","PM_20",0.15,46.578947368421,8.5092240791423
"37","Transfer","PM_20",0.3,46.1842105263158,5.9750538413033
"38","Transfer","PM_20",0.5,45.5138831330294,5.08711190664306
"39","Transfer","PM_20",0.75,44.9338416691438,4.62367190713236
"40","Transfer","PM_20",0.8,44.4960929431582,4.31275262935978
