"","Method","Metric","Testing_Proportion","Mean","SD"
"1","GBLUP","COR",0.15,0.0730706736611188,0.0718347983066254
"2","GBLUP","COR",0.3,0.0745441548573433,0.0621120878126564
"3","GBLUP","COR",0.5,0.0728851162631455,0.0539253007391565
"4","GBLUP","COR",0.75,0.061050038884422,0.052825577864018
"5","GBLUP","COR",0.8,0.0556215237740915,0.0503621260701742
"6","GBLUP","NRMSE",0.15,0.0389104784445488,0.00265044125480389
"7","GBLUP","NRMSE",0.3,0.0387002588823127,0.00193888431378993
"8","GBLUP","NRMSE",0.5,0.0385126841427986,0.00162996671749955
"9","GBLUP","NRMSE",0.75,0.0385279981259304,0.00142571340461177
"10","GBLUP","NRMSE",0.8,0.038463472273832,0.00129322288758253
"11","GBLUP","PM_10",0.15,15.8823529411765,6.82059887487298
"12","GBLUP","PM_10",0.3,15.2941176470588,6.08026204996532
"13","GBLUP","PM_10",0.5,15.4834347532116,5.64269366304693
"14","GBLUP","PM_10",0.75,14.5148749154834,5.39441546363497
"15","GBLUP","PM_10",0.8,13.785812975865,5.19791654798006
"16","GBLUP","PM_20",0.15,27.4285714285714,6.20145546518084
"17","GBLUP","PM_20",0.3,25.9606625258799,5.40437964205717
"18","GBLUP","PM_20",0.5,25.2668784655291,4.75335526198894
"19","GBLUP","PM_20",0.75,24.3955611479974,4.6018626104329
"20","GBLUP","PM_20",0.8,23.624557026506,4.47714712535565
"21","Transfer","COR",0.15,0.0666345844694165,0.0612738795081989
"22","Transfer","COR",0.3,0.069177495428049,0.0532992418701306
"23","Transfer","COR",0.5,0.060542868313423,0.0493428124592173
"24","Transfer","COR",0.75,0.0490018530943135,0.0476742492424873
"25","Transfer","COR",0.8,0.0426581000713456,0.0455295286050104
"26","Transfer","NRMSE",0.15,0.038909647301906,0.00260693080644211
"27","Transfer","NRMSE",0.3,0.0386973241610831,0.0019196146609746
"28","Transfer","NRMSE",0.5,0.0385247814621763,0.00161396831447525
"29","Transfer","NRMSE",0.75,0.0385393581929419,0.00140803603086605
"30","Transfer","NRMSE",0.8,0.0384806613478134,0.00127488141628013
"31","Transfer","PM_10",0.15,18.8235294117647,6.67819073173584
"32","Transfer","PM_10",0.3,16.7647058823529,5.81227608334167
"33","Transfer","PM_10",0.5,15.1419878296146,5.70910950338486
"34","Transfer","PM_10",0.75,14.3162609871535,5.28167930505356
"35","Transfer","PM_10",0.8,13.4747479201576,5.11436789226765
"36","Transfer","PM_20",0.15,26.2857142857143,5.35370259906865
"37","Transfer","PM_20",0.3,25.3167701863354,4.42786888793128
"38","Transfer","PM_20",0.5,24.4353180552581,4.68383054966172
"39","Transfer","PM_20",0.75,23.7575230242022,4.49024942466815
"40","Transfer","PM_20",0.8,23.2330454463888,4.327362931911
