"","Dataset","Testing_Proportion","Trait","Env_Proxy","Env_goal","COR_BayI_Ave","COR_BayNI_SD","COR_Trans_Ave","COR_Trans_SD","MSE_BayI_Ave","MSE_BayNI_SD","MSE_Trans_Ave","MSE_Trans_SD","NRMSE_BayI_Ave","NRMSE_BayI_SD","NRMSE_Trans_Ave","NRMSE_Trans_SD","PM_Conv_Ave_10","PM_Conv_SD_10","PM_Transf_Ave_10","PM_Transf_SD_10","PM_Conv_Ave_20","PM_Conv_SD_20","PM_Transf_Ave_20","PM_Transf_SD_20","PM_Conv_Ave_30","PM_Conv_SD_30","PM_Transf_Ave_30","PM_Transf_SD_30"
"1","Wheat_3",0.15,"GY","YT_16_17","YT_15_16",0.0730706736611188,0.0718347983066254,0.0666345844694165,0.0612738795081989,0.0903093511807315,0.0121134756797167,0.0902930825098288,0.0119241217731516,0.0389104784445488,0.00265044125480389,0.038909647301906,0.00260693080644211,15.8823529411765,6.82059887487298,18.8235294117647,6.67819073173584,27.4285714285714,6.20145546518084,26.2857142857143,5.35370259906865,33.4615384615385,3.2936493791449,32.3076923076923,4.42261238734881
"2","Wheat_3",0.3,"GY","YT_16_17","YT_15_16",0.0745441548573433,0.0621120878126564,0.069177495428049,0.0532992418701306,0.0891021259966065,0.00892215952074355,0.0890841033997517,0.0088388295582534,0.0387002588823127,0.00193888431378993,0.0386973241610831,0.0019196146609746,15.2941176470588,6.08026204996532,16.7647058823529,5.81227608334167,25.9606625258799,5.40437964205717,25.3167701863354,4.42786888793128,33.9903846153846,3.27599621474193,33.2211538461538,3.71060486254829
"3","Wheat_3",0.5,"GY","YT_16_17","YT_15_16",0.0728851162631455,0.0539253007391565,0.060542868313423,0.0493428124592173,0.0881899774443911,0.00750812304094496,0.0882417445038846,0.00743350760120105,0.0385126841427986,0.00162996671749955,0.0385247814621763,0.00161396831447525,15.4834347532116,5.64269366304693,15.1419878296146,5.70910950338486,25.2668784655291,4.75335526198894,24.4353180552581,4.68383054966172,33.943781314471,2.87684135494261,32.6455201886236,3.40142276126617
"4","Wheat_3",0.75,"GY","YT_16_17","YT_15_16",0.061050038884422,0.052825577864018,0.0490018530943135,0.0476742492424873,0.0882386102271411,0.00655997104223914,0.0882872668730456,0.00647858187746206,0.0385279981259304,0.00142571340461177,0.0385393581929419,0.00140803603086605,14.5148749154834,5.39441546363497,14.3162609871535,5.28167930505356,24.3955611479974,4.6018626104329,23.7575230242022,4.49024942466815,33.3505562923666,2.78799698418438,32.2427608311229,3.11761433813965
"5","Wheat_3",0.8,"GY","YT_16_17","YT_15_16",0.0556215237740915,0.0503621260701742,0.0426581000713456,0.0455295286050104,0.0879315534446518,0.00595164773321154,0.0880070081543612,0.00586767604516057,0.038463472273832,0.00129322288758253,0.0384806613478134,0.00127488141628013,13.785812975865,5.19791654798006,13.4747479201576,5.11436789226765,23.624557026506,4.47714712535565,23.2330454463888,4.327362931911,32.9754090626703,2.69715710417335,32.0172302476321,3.02124034075529
