"","Dataset","Testing_Proportion","Trait","Env_Proxy","Env_goal","Fold","COR_BayI","COR_Trans","MSE_BayI","MSE_Trans","NRMSE_BayI","NRMSE_Trans","PM_Conv_10","PM_Transf_10","PM_Conv_20","PM_Transf_20","PM_Conv_30","PM_Transf_30"
"1","Wheat_3",0.15,"GY","YT_16_17","YT_15_16",1,0.0277087113272372,0.00388902869547269,0.112424596436444,0.112754714431594,0.0435241703355421,0.0435880246001411,11.7647058823529,11.7647058823529,25.7142857142857,20,30.7692307692308,28.8461538461538
"2","Wheat_3",0.15,"GY","YT_16_17","YT_15_16",2,0.0846459019968002,0.0826970258542445,0.0855870777721419,0.0859611165120913,0.037769620916672,0.0378520626846619,17.6470588235294,17.6470588235294,25.7142857142857,28.5714285714286,32.6923076923077,30.7692307692308
"3","Wheat_3",0.15,"GY","YT_16_17","YT_15_16",3,0.138987995428842,0.102621271969839,0.0815623509305594,0.0822802381093703,0.0370438605476448,0.0372065278308731,17.6470588235294,17.6470588235294,28.5714285714286,22.8571428571429,32.6923076923077,30.7692307692308
"4","Wheat_3",0.15,"GY","YT_16_17","YT_15_16",4,0.177736811389655,0.167615921556142,0.0881110115310361,0.0886636443519683,0.0385995551405908,0.0387204142563662,5.88235294117647,11.7647058823529,22.8571428571429,28.5714285714286,32.6923076923077,32.6923076923077
"5","Wheat_3",0.15,"GY","YT_16_17","YT_15_16",5,0.035248554561222,0.0444782900330934,0.0947319232281304,0.0941185598338618,0.0398747881762087,0.0397454893476509,29.4117647058824,35.2941176470588,40,37.1428571428571,32.6923076923077,38.4615384615385
"6","Wheat_3",0.15,"GY","YT_16_17","YT_15_16",6,0.0133581818127798,0.00807270754660732,0.105946570103479,0.105745472493471,0.0425416074953065,0.0425012141205161,17.6470588235294,17.6470588235294,25.7142857142857,22.8571428571429,38.4615384615385,32.6923076923077
"7","Wheat_3",0.15,"GY","YT_16_17","YT_15_16",7,-0.0556602225842348,-0.0283414564935761,0.0964340723373932,0.094915908093755,0.0401978022400921,0.0398801294461331,17.6470588235294,17.6470588235294,17.1428571428571,25.7142857142857,26.9230769230769,25
"8","Wheat_3",0.15,"GY","YT_16_17","YT_15_16",8,0.0540674076859324,0.0649029695927662,0.0845598386512352,0.0841561048231635,0.0377570358008653,0.0376667918274069,5.88235294117647,17.6470588235294,28.5714285714286,25.7142857142857,36.5384615384615,40.3846153846154
"9","Wheat_3",0.15,"GY","YT_16_17","YT_15_16",9,0.15116463423879,0.136305852472061,0.0808624806655205,0.0811990841609141,0.036847987604317,0.0369246008900129,17.6470588235294,17.6470588235294,34.2857142857143,31.4285714285714,36.5384615384615,32.6923076923077
"10","Wheat_3",0.15,"GY","YT_16_17","YT_15_16",10,0.103448760754164,0.0841042334675155,0.0728735901513749,0.0731359822880984,0.0349483561882485,0.035011218015298,17.6470588235294,23.5294117647059,25.7142857142857,20,34.6153846153846,30.7692307692308
"11","Wheat_3",0.3,"GY","YT_16_17","YT_15_16",1,0.0465458021105436,0.051069159189663,0.0828761496524849,0.0825627990071508,0.0374671855946773,0.0373962877229694,17.6470588235294,17.6470588235294,27.536231884058,20.2898550724638,32.6923076923077,30.7692307692308
"12","Wheat_3",0.3,"GY","YT_16_17","YT_15_16",2,0.0835621401721632,0.0377684725566334,0.0881314028787226,0.0887165395714291,0.0385708216912921,0.0386986527755948,17.6470588235294,14.7058823529412,24.6376811594203,23.1884057971014,39.4230769230769,36.5384615384615
"13","Wheat_3",0.3,"GY","YT_16_17","YT_15_16",3,0.0923236564684619,0.104388976104656,0.0858103665490108,0.0856950530645178,0.0379515883701358,0.0379260797905253,5.88235294117647,11.7647058823529,26.0869565217391,26.0869565217391,33.6538461538462,30.7692307692308
"14","Wheat_3",0.3,"GY","YT_16_17","YT_15_16",4,0.101269241968372,0.0914987444853059,0.0845220714549718,0.0846168885489298,0.0377855517102195,0.0378067397379917,11.7647058823529,14.7058823529412,28.9855072463768,28.9855072463768,33.6538461538462,33.6538461538462
"15","Wheat_3",0.3,"GY","YT_16_17","YT_15_16",5,0.14104171499988,0.10862459088099,0.0962742789197806,0.0970114080192963,0.040339161139362,0.0404932961248054,17.6470588235294,17.6470588235294,28.9855072463768,24.6376811594203,40.3846153846154,35.5769230769231
"16","Wheat_3",0.3,"GY","YT_16_17","YT_15_16",6,0.0650717400659886,0.0511096077212936,0.0920703993755934,0.0921983662055084,0.0393334453370216,0.039360770235199,11.7647058823529,11.7647058823529,23.1884057971014,27.536231884058,34.6153846153846,34.6153846153846
"17","Wheat_3",0.3,"GY","YT_16_17","YT_15_16",7,0.0900877276819057,0.0988905175055493,0.0845783784885416,0.0844175199455224,0.0378117944861166,0.0377758204876892,11.7647058823529,11.7647058823529,14.4927536231884,20.2898550724638,35.5769230769231,36.5384615384615
"18","Wheat_3",0.3,"GY","YT_16_17","YT_15_16",8,0.155038555700706,0.154201129534744,0.0886188414300719,0.08886248847554,0.0386113611572428,0.038664403414152,26.4705882352941,23.5294117647059,26.0869565217391,27.536231884058,34.6153846153846,37.5
"19","Wheat_3",0.3,"GY","YT_16_17","YT_15_16",9,-0.0193081361277714,0.00606548400206152,0.091390902642969,0.0901194786294794,0.0391755186467734,0.0389020606597879,11.7647058823529,8.82352941176471,21.7391304347826,24.6376811594203,30.7692307692308,35.5769230769231
"20","Wheat_3",0.3,"GY","YT_16_17","YT_15_16",10,0.00454391749542952,0.0135873818859192,0.0846762167326688,0.0845507014293719,0.0378539650679242,0.0378258992538877,14.7058823529412,14.7058823529412,23.1884057971014,20.2898550724638,29.8076923076923,29.8076923076923
"21","Wheat_3",0.5,"GY","YT_16_17","YT_15_16",1,0.0945324408572836,0.0848550091241935,0.0904606681835005,0.0906292358090515,0.0390728508808422,0.0391092388069042,13.7931034482759,8.62068965517241,22.4137931034483,27.5862068965517,32.7586206896552,33.9080459770115
